Date,Close,50-day MA,200-day MA,Golden Cross,,,,,,,,,,,,
1/26/2024,487.41,467.5356,441.196,0,,,,,,,,,,,,
1/29/2024,491.27,468.3864,441.6121,0,,,,,,,,,,,,
1/30/2024,490.89,469.2106,441.9992,0,,,,,,,,,,,,
1/31/2024,482.88,469.8636,442.3513,0,,,,,,,,,,,,
2/1/2024,489.2,470.6318,442.7276,0,,,,,,,,,,,,
2/2/2024,494.35,471.4336,443.1283,0,,,,,,,,,,,,
2/5/2024,492.55,472.2192,443.52035,0,,,,,,,,,,,,
2/6/2024,493.98,472.9984,443.93085,0,,,,,,,,,,,,
2/7/2024,498.1,473.8544,444.36035,0,,,,,,,,,,,,
2/8/2024,498.32,474.7312,444.7888,0,,,,,,,,,,,,
2/9/2024,501.2,475.6566,445.2644,0,,,,,,,,,,,,
2/12/2024,500.98,476.584,445.7475,0,,,,,,,,,,,,
2/13/2024,494.08,477.3376,446.15585,0,,,,,,,,,,,,
2/14/2024,498.57,478.127,446.56905,0,,,,,,,,,,,,
2/15/2024,502.01,479.0334,447.00155,0,,,,,,,,,,,,
2/16/2024,499.51,479.8916,447.4449,0,,,,,,,,,,,,
2/20/2024,496.76,480.7316,447.8886,0,,,,,,,,,,,,
2/21/2024,497.21,481.5112,448.349,0,,,,,,,,,,,,
2/22/2024,507.5,482.4572,448.82335,0,,,,,,,,,,,,
2/23/2024,507.85,483.3744,449.2989,0,,,,,,,,,,,,
2/26/2024,505.99,484.2122,449.7742,0,,,,,,,,,,,,
2/27/2024,506.93,484.9408,450.2446,0,,,,,,,,,,,,
2/28/2024,506.26,485.6258,450.71525,0,,,,,,,,,,,,
2/29/2024,508.08,486.4008,451.1977,0,,,,,,,,,,,,
3/1/2024,512.85,487.2184,451.6969,0,,,,,,,,,,,,
3/4/2024,512.3,487.9676,452.20715,0,,,,,,,,,,,,
3/5/2024,507.18,488.746,452.6669,0,,,,,,,,,,,,
3/6/2024,509.75,489.487,453.1195,0,,,,,,,,,,,,
3/7/2024,514.81,490.3102,453.60045,0,,,,,,,,,,,,
3/8/2024,511.72,491.0316,454.0651,0,,,,,,,,,,,,
3/11/2024,511.28,491.727,454.55105,0,,,,,,,,,,,,
3/12/2024,516.78,492.5288,455.0795,0,,,,,,,,,,,,
3/13/2024,515.97,493.342,455.5861,0,,,,,,,,,,,,
3/14/2024,514.95,494.188,456.06075,0,,,,,,,,,,,,
3/15/2024,509.83,495.0088,456.509,0,,,,,,,,,,,,
3/18/2024,512.86,495.9204,456.98405,0,,,,,,,,,,,,
3/19/2024,515.71,496.8762,457.4535,0,,,,,,,,,,,,
3/20/2024,520.48,497.7938,457.9163,0,,,,,,,,,,,,
3/21/2024,522.2,498.7602,458.3918,0,,,,,,,,,,,,
3/22/2024,521.21,499.6532,458.8577,0,,,,,,,,,,,,
3/25/2024,519.77,500.5216,459.3238,0,,,,,,,,,,,,
3/26/2024,518.81,501.3642,459.7722,0,,,,,,,,,,,,
3/27/2024,523.17,502.329,460.23855,0,,,,,,,,,,,,
3/28/2024,523.07,503.3446,460.6849,0,,,,,,,,,,,,
4/1/2024,522.16,504.258,461.1124,0,,,,,,,,,,,,
4/2/2024,518.84,504.9862,461.5207,0,,,,,,,,,,,,
4/3/2024,519.41,505.7054,461.90475,0,,,,,,,,,,,,
4/4/2024,513.07,506.2696,462.2728,0,,,,,,,,,,,,
4/5/2024,518.43,506.9304,462.67905,0,,,,,,,,,,,,
4/8/2024,518.72,507.5442,463.09795,0,,,,,,,,,,,,
4/9/2024,519.32,508.1824,463.512,0,,,,,,,,,,,,
